Standard Designation Number/Date,Title of Standard,Specialty Task Group,Date of Recogntion,Standard Developing Organization,Recognition Number
80601-2-77 Edition 1.0 2019-07,Medical electrical equipment - Part 2-77: Particular requirements for the BASIC SAFETY and essential performance of ROBOTICALLY ASSISTED SURGICAL EQUIPMENT,General Plastic Surgery/General Hospital,12/23/2019,IEC," "6-438
WC-1:2019 Section 1,American National Standard for Wheelchairs - Volume 1: Requirements and Test Methods for Wheelchairs (including Scooters) Section 1: Determination of static stability,Physical Medicine,12/23/2019,ANSI RESNA," "16-207
WC-2:2019 Section 2,American National Standard for Wheelchairs - Volume 2: Additional Requirements for Wheelchairs (including Scooters) with Electrical Systems Section 2: Determination of dynamic stability of electrically powered wheelchairs,Physical Medicine,12/23/2019,ANSI RESNA," "16-208
WC-1:2019 Section 3,American National Standard for Wheelchairs - Volume 1: Additional Requirements for Wheelchairs (including Scooters) Section 3: Determination of effectiveness of brakes,Physical Medicine,12/23/2019,ANSI RESNA," "16-209
WC-2:2019 Section 4,American National Standard for Wheelchairs - Volume 2: Additional Requirements for Wheelchairs (including Scooters) with Electrical Systems Section 4: Energy consumption of electrically powered wheelchairs and scooters for determination of theoretical distance range,Physical Medicine,12/23/2019,ANSI RESNA," "16-210
WC-1:2019 Section 5,American National Standard for Wheelchairs - Volume 1: Requirements and Test Methods for Wheelchairs (including Scooters) Section 5: Determination of dimensions mass and maneuvering space,Physical Medicine,12/23/2019,ANSI RESNA," "16-211
WC-2:2019 Section 6,American National Standard for Wheelchairs - Volume 2: Additional Requirements for Wheelchairs (including Scooters) with Electrical Systems Section 6: Determination of maximum speed of electrically powered wheelchairs.,Physical Medicine,12/23/2019,ANSI RESNA," "16-212
WC-1:2019 Section 7,American National Standard for Wheelchairs - Volume 1: Requirements and Test Methods for Wheelchairs (including Scooters) Section 7: Method of measurement of seating and wheel dimensions,Physical Medicine,12/23/2019,ANSI RESNA," "16-213
WC-1:2019 Section 8,American National Standard for Wheelchairs - Volume 1: Requirements and Test Methods for Wheelchairs (including Scooters) Section 8: Requirements and test methods for static Iipact and fatigue strengths,Physical Medicine,12/23/2019,ANSI RESNA," "16-214
WC-2:2019 Section 9,American National Standard for Wheelchairs -  Volume 2: Additional Requirements for Wheelchairs (including Scooters) with Electrical Systems Section 9: Climatic tests for Eeectrically powered wheelchairs,Physical Medicine,12/23/2019,ANSI RESNA," "16-215
WC-2:2019 Section 10,American National Standard for Wheelchairs - Volume 2: Additional Requirements for Wheelchairs (including Scooters) with Electrical Systems Section 10: Determination of obstacle-climbing ability of electrically powered wheelchairs,Physical Medicine,12/23/2019,ANSI RESNA," "16-216
WC-1:2019 Section 11,American National Standard for Wheelchairs - Volume 1: Requirements and Test Methods for Wheelchairs (including Scooters) Section 11: Test mannequins,Physical Medicine,12/23/2019,ANSI RESNA," "16-217
WC-1:2019 Section 13,American National Standard for Wheelchairs - Volume 1: Requirements and Test Methods for Wheelchairs (including Scooters) Section 13: Determination of Coefficient of Friction of Test Surfaces,Physical Medicine,12/23/2019,ANSI RESNA," "16-218
WC-2:2019 Section 14,American National Standard for Wheelchairs - Volume 2: Additional Requirements for Wheelchairs (including Scooters) with Electrical Systems Section 14: Power and Control Systems for Electrically Powered Wheelchairs Requirements and Test Methods,Physical Medicine,12/23/2019,ANSI RESNA," "16-219
WC-1:2019 Section 15,American National Standard for Wheelchairs - Volume 1: Requirements and Test Methods for Wheelchairs (including Scooters) Section 15: Requirements for Information Disclosure Documentation and Labeling,Physical Medicine,12/23/2019,ANSI RESNA," "16-220
WC-1:2019 Section 16,American National Standard for Wheelchairs - Volume 1: Requirements and Test Methods for Wheelchairs (including Scooters) Section 16: Resistance to Ignition of Upholstered Parts - Requirements and Test Methods,Physical Medicine,12/23/2019,ANSI RESNA," "16-221
WC-1:2019 Section 20,American National Standard for Wheelchairs - Volume 1: Requirements and Test Methods for Wheelchairs (including Scooters) Section 20: Determination of the Performance of Stand-up Type Wheelchairs,Physical Medicine,12/23/2019,ANSI RESNA," "16-222
WC-1:2019 Section 22,American National Standard for Wheelchairs - Volume 1: Requirements and Test Methods for Wheels chairs (including Scooters) Section 22: Set-up Procedures,Physical Medicine,12/23/2019,ANSI RESNA," "16-223
WC-2:2019 Section 21,American National Standard for Wheelchairs - Volume 2 Additional Requirements for Wheelchairs (including Scooters) with Electrical Systems Section 21: Requirements and test methods for electromagnetic compatibility of electrically powered wheelchairs and motorized scooters,Physical Medicine,12/23/2019,ANSI RESNA," "16-224
WC-1:2019 Section 26,American National Standard for Wheelchairs - Volume 1: Requirements and Test Methods for Wheelchairs (including Scooters)  Section 26: Vocabulary,Physical Medicine,12/23/2019,ANSI RESNA," "16-225
60601-2-54 Edition 1.1 2015-04 CONSOLIDATED VERSION,Medical electrical equipment - Part 2-54: Particular requirements for the basic safety and essential performance of X-ray equipment for radiography and radioscopy,Radiology,12/23/2019,IEC," "12-296
F897-19,Standard Test Method for Measuring Fretting Corrosion of Osteosynthesis Plates and Screws,Orthopedic,07/06/2020,ASTM," "11-363
F897-02 (Reapproved 2013),Standard Test Method for Measuring Fretting Corrosion of Osteosynthesis Plates and Screws,Orthopedic,08/06/2013,ASTM," "11-215
14243-1 Second edition 2009-11-15,Implants for surgery - Wear of total knee-joint prostheses - Part 1: Loading and displacement parameters for wear-testing machines with load control and corresponding environmental conditions for test [Including AMENDMENT1 (2020)],Orthopedic,07/06/2020,ISO," "11-364
14243-1 Second edition 2009-11-15,Implants for surgery - Wear of total knee-joint prostheses - Part 1: Loading and displacement parameters for wear-testing machines with load control and corresponding environmental conditions for test,Orthopedic,01/30/2014,ISO," "11-222
F1800-19 e1,Standard Practice for Cyclic Fatigue Testing of Metal Tibial Tray Components of Total Knee Joint Replacements,Orthopedic,07/06/2020,ASTM," "11-365
F1800-12,Standard Test Method for Cyclic Fatigue Testing of Metal Tibial Tray Components of Total Knee Joint Replacements,Orthopedic,08/06/2013,ASTM," "11-253
F2381-19,Standard Test Method for Evaluating Trans-Vinylene Yield in Irradiated Ultra-High Molecular Weight Polyethylene Fabricated Forms Intended for Surgical Implants by Infrared Spectroscopy,Orthopedic,07/06/2020,ASTM," "11-366
F2381-10,Standard Test Method for Evaluating Trans-Vinylene Yield in Irradiated Ultra-High Molecular Weight Polyethylene Fabricated Forms Intended for Surgical Implants by Infrared Spectroscopy,Orthopedic,01/30/2014,ASTM," "11-275
14243-3 Second edition 2014-11-01,Implants for surgery - Wear of total knee-joint prostheses - Part 3: Loading and displacement parameters for wear-testing machines with displacement control and corresponding environmental conditions for test [Including AMENDMENT1 (2020)],Orthopedic,07/06/2020,ISO," "11-367
14243-3 Second edition 2014-11-01,Implants for surgery - Wear of total knee-joint prostheses - Part 3: Loading and displacement parameters for wear-testing machines with displacement control and corresponding environmental conditions for test,Orthopedic,08/14/2015,ISO," "11-292
F3334-19,Standard Practice for Finite Element Analysis (FEA) of Metallic Orthopaedic Total Knee Tibial Components,Orthopedic,07/06/2020,ASTM," "11-368
F3292-19,Standard Practice for Inspection of Spinal Implants Undergoing Testing,Orthopedic,07/06/2020,ASTM," "11-369
/TS 17137 Second edition 2019-09 ,Cardiovascular implants and extracorporeal systems - Cardiovascular absorbable implants,Materials,07/06/2020,ISO," "8-525
/TS 17137 First edition 2014-05-15,Cardiovascular implants and extracorporeal systems - Cardiovascular absorbable implants.,Cardiovascular,01/14/2019,ISO," "3-142
E3025-16,Standard Guide for Tiered Approach to Detection and Characterization of Silver Nanomaterials in Textiles,Nanotechnology,07/06/2020,ASTM," "18-15
62464-1 Edition 2.0 2018-12,Magnetic resonance equipment for medical imaging  Part 1: Determination of essential image quality parameters.,Radiology,07/06/2020,IEC," "12-332
RT3:2020,Radiation therapy machine characterization,Radiology,07/06/2020,AAMI," "12-334
/TS 21362 First edition 2018-06,Nanotechnologies - Analysis of nano-objects using asymmetrical-flow and centrifugal field-flow fractionation,Nanotechnology,07/06/2020,ISO," "18-16
Standards Publication XR 28-2018,Supplemental Requirements for User Information and System Function Related to Dose in CT,Radiology,07/06/2020,NEMA," "12-330
XR 28-2013,Supplemental Requirements for User Information and System Function Related to Dose in CT,Radiology,01/27/2015,NEMA," "12-287
Standards Publication MS 14-2019,Characterization of Radiofrequency (RF) Coil Heating in Magnetic Resonance Imaging Systems,Radiology,07/06/2020,NEMA," "12-331
7010 Third edition 2019-07,Graphical symbols - Safety colours and safety signs - Registered safety signs,General I (QS/RM),07/06/2020,ISO," "5-130
TR 63183 Edition 1.0 2019-12,Guidance on error and warning messages for software used in radiotherapy,Radiology,07/06/2020,IEC," "12-333
F2182-19e2,Standard Test Method for Measurement of Radio Frequency Induced Heating On or Near Passive Implants During Magnetic Resonance,Materials,07/06/2020,ASTM," "8-526
F2182-11a,Standard Test Method for Measurement of Radio Frequency Induced Heating On or Near Passive Implants During Magnetic Resonance Imaging,Materials,01/15/2013,ASTM," "8-227
Standards Publication XR 25 -2019,Computed Tomography Dose Check,Radiology,07/06/2020,NEMA," "12-325
XR 25,Computed Tomography Dose Check,Radiology,03/14/2011,NEMA," "12-225
10993-9  Third edition 2019-11 ,Biological evaluation of medical devices - Part 9: Framework for identification and quantification of potential degradation products,Biocompatibility,07/06/2020,ISO," "2-273
10993-9 Second edition 2009-12-15,Biological evaluation of medical devices - Part 9: Framework for identification and quantification of potential degradation products,Biocompatibility,07/26/2016,ISO," "2-168
F749-20,Standard Practice for Evaluating Material Extracts by Intracutaneous Injection in the Rabbit,Biocompatibility,07/06/2020,ASTM," "2-274
F749-13,Standard Practice for Evaluating Material Extracts by Intracutaneous Injection in the Rabbit,Biocompatibility,07/26/2016,ASTM," "2-197
10993-7 Second edition 2008-10-15,Biological evaluation of medical devices - Part 7: Ethylene oxide sterilization residuals [Including: Technical Corrigendum 1 (2009)  AMENDMENT 1: Applicability of allowable limits for neonates and infants (2020)],Biocompatibility,07/06/2020,ISO," "2-275
10993-7 Second edition 2008-10-15,Biological evaluation of medical devices - Part 7: Ethylene oxide sterilization residuals [Including: Technical Corrigendum 1 (2009)],Biocompatibility,01/30/2014,ISO," "14-408
7886-2 Second edition 2020-04 ,Sterile hypodermic syringes for single use - Part 2: Syringes for use with power-driven syringe pumps,General Plastic Surgery/General Hospital,07/06/2020,ISO," "6-439
7886-2 First edition 1996-05-15,Sterile hypodermic syringes for single use - Part 2:  Syringes for use with power-driven syringe pumps,General Plastic Surgery/General Hospital,11/08/2005,ISO," "6-68
7886-3 Second edition 2020-05 ,Sterile hypodermic syringes for single use - Part 3: Auto-disabled syringes for fixed-dose immunization,General Plastic Surgery/General Hospital,07/06/2020,ISO," "6-441
7886-3 First edition 2005-03-01,Sterile hypodermic syringes for single use -- Part 3: Auto-disable syringes for fixed-dose immunization,General Plastic Surgery/General Hospital,01/15/2013,ISO," "6-148
D3578-19,Standard Specification for Rubber Examination Gloves,General Plastic Surgery/General Hospital,07/06/2020,ASTM," "6-440
D3578-05 (Reapproved 2015),Standard Specification for Rubber Examination Gloves,General Plastic Surgery/General Hospital,06/27/2016,ASTM," "6-145
D6977-19,Standard Specification for Polychloroprene Examination Gloves for Medical Application,General Plastic Surgery/General Hospital,07/06/2020,ASTM," "6-442
D6977-04 (Reapproved 2016),Standard Specification for Polychloroprene Examination Gloves for Medical Application,General Plastic Surgery/General Hospital,12/23/2016,ASTM," "6-165
D3577-19,Standard Specification for Rubber Surgical Gloves,General Plastic Surgery/General Hospital,07/06/2020,ASTM," "6-443
D3577-09 (Reapproved 2015),Standard Specification for Rubber Surgical Gloves,General Plastic Surgery/General Hospital,06/27/2016,ASTM," "6-168
F899-20,Standard Specification for Wrought Stainless Steels for Surgical Instruments,Materials,07/06/2020,ASTM," "8-527
D5250-19,Standard Specification for Poly(vinyl chloride) Gloves for Medical Application,General Plastic Surgery/General Hospital,07/06/2020,ASTM," "6-445
F899-12b,Standard Specification for Wrought Stainless Steels for Surgical Instruments,Materials,08/06/2013,ASTM," "8-343
D5250-06 (Reapproved 2015),Standard Specification for Poly(vinyl chloride) Gloves for Medical Application,General Plastic Surgery/General Hospital,06/27/2016,ASTM," "6-183
D6319-19,Standard Specification for Nitrile Examination Gloves for Medical Application,General Plastic Surgery/General Hospital,07/06/2020,ASTM," "6-446
D6319-10 (Reapproved 2015),Standard Specification for Nitrile Examination Gloves for Medical Application,General Plastic Surgery/General Hospital,06/27/2016,ASTM," "6-244
8536-4 Sixth edition 2019-09,Infusion equipment for medical use - Part 4: Infusion sets for single use gravity feed,General Plastic Surgery/General Hospital,07/06/2020,ISO," "6-447
8536-4 Fifth edition 2010-10-01,Infusion equipment for medical use - Part 4: Infusion sets for single use gravity feed [Including: Amendment 1 (2013)],General Plastic Surgery/General Hospital,01/30/2014,ISO," "6-318
F2503-20,Standard Practice for Marking Medical Devices and Other Items for Safety in the Magnetic Resonance Environment,Materials,07/06/2020,ASTM," "8-528
D6124-06 (Reapproved 2017) ,Standard Test Method for Residual Powder on Medical Gloves,General Plastic Surgery/General Hospital,07/06/2020,ASTM," "6-178
F2503-13,Standard Practice for Marking Medical Devices and Other Items for Safety in the Magnetic Resonance Environment,Materials,06/15/2016,ASTM," "8-349
F2475-20,Standard Guide for Biocompatibility Evaluation of Medical Device Packaging Materials,Sterility,07/06/2020,ASTM," "14-539
F2633-19,Standard Specification for Wrought Seamless Nickel-Titanium Shape Memory Alloy Tube for Medical Devices and Surgical Implants,Materials,07/06/2020,ASTM," "8-529
F2475-11,Standard Guide for Biocompatibility Evaluation of Medical Device Packaging Materials,Sterility,01/15/2013,ASTM," "14-313
F2633-13,Standard Specification for Wrought Seamless Nickel-Titanium Shape Memory Alloy Tube for Medical Devices and Surgical Implants,Materials,07/09/2014,ASTM," "8-374
F3208-17,Standard Guide for Selecting Test Soils for Validation of Cleaning Methods for Reusable Medical Devices,Materials,06/07/2018,ASTM," "8-461
F3321-19,Standard Guide for Methods of Extraction of Test Soils for the Validation of Cleaning Methods for Reusable Medical Devices,Materials,07/06/2020,ASTM," "8-531
11737-2 Third edition 2019-12,Sterilization of medical devices - Microbiological methods - Part 2: Tests of sterility performed in the definition validation and maintenance of a sterilization process,Sterility,07/06/2020,ISO," "14-540
11737-2 Second edition 2009-11-15,Sterilization of medical devices - Microbiological methods - Part 2: Tests of sterility performed in the definition validation and maintenance of a sterilization process,Sterility,04/04/2016,ISO," "14-327
ST72:2019 ,Bacterial endotoxins - Test methods routine monitoring and alternatives to batch testing,Sterility,07/06/2020,ANSI AAMI," "14-541
ST72:2011/(R)2016,Bacterial endotoxins - Test methods routine monitoring and alternatives to batch testing,Sterility,12/23/2016,ANSI AAMI," "14-360
52628 Second edition 2020-04 ,Standard practice for dosimetry in radiation processing,Sterility,07/06/2020,ASTM ISO," "14-542
52628 First edition 2013-11-15 ,Practice for dosimetry in radiation processing,Sterility,07/09/2014,ASTM ISO," "14-436
17664 Second edition 2017-10,Processing of health care products - Information to be provided by the medical device manufacturer for the processing of medical devices,Sterility,07/06/2020,ISO," "14-515
11139 First edition 2018-08,Sterilization of health care products - Vocabulary of terms used in sterilization and related equipment and process standards,Sterility,07/06/2020,ISO," "14-543
18472 Second edition 2018-08,Sterilization of health care products - Biological and chemical indicators - Test  equipment,Sterility,07/06/2020,ISO," "14-544
51276 Fourth edition 2019-08,Practice for use of a polymethylmethacrylate dosimetry system,Sterility,07/06/2020,ASTM ISO," "14-545
F3004-13e1,Standard Test Method for Evaluation of Seal Quality and Integrity Using Airborne Ultrasound,Sterility,07/06/2020,ASTM," "14-549
F3335-20,Standard Guide for Assessing the Removal of Additive Manufacturing Residues in Medical Devices Fabricated by Powder Bed Fusion,Materials,07/06/2020,ASTM," "8-532
52907: First Edition 2019-11,Additive Manufacturing - Feedstock materials - Methods to characterize metal powders,Materials,07/06/2020,ASTM ISO," "8-533
52911-1: First Edition 2019-07,Additive Manufacturing - Design - Part 1: Laser-based powder bed fusion of metals,Materials,07/06/2020,ASTM ISO," "8-534
52911-2: First Edition 2019-09,Additive Manufacturing - Design - Part 2: Laser-based powder bed fusion of polymers,Materials,07/06/2020,ASTM ISO," "8-535
52902:First Edition 2019-07,Additive Manufacturing -Test Artifacts - Geometric capability assessment of additive manufacturing systems,Materials,07/06/2020,ASTM ISO," "8-536
F2450-18,Standard Guide for Assessing Microstructure of Polymeric Scaffolds for Use in Tissue-Engineered Medical Products,Tissue Engineering,07/06/2020,ASTM," "15-59
F2450-10,Standard Guide for Assessing Microstructure of Polymeric Scaffolds for Use in Tissue Engineered Medical Products,Tissue Engineering,10/04/2010,ASTM," "15-19
F2212-19,Standard Guide for Characterization of Type I Collagen as Starting Material for Surgical Implants and Substrates for Tissue Engineered Medical Products (TEMPs),Tissue Engineering,07/06/2020,ASTM," "15-60
F2212-11,Standard Guide for Characterization of Type I Collagen as a Starting Material for Surgical Implants and Substrates for Tissue Engineered Medical Products (TEMPS),Tissue Engineering,03/16/2012,ASTM," "15-30
F2150-19,Standard Guide for Characterization and Testing of Biomaterial Scaffolds Used in Regenerative Medicine and Tissue-Engineered Medical Products,Tissue Engineering,07/06/2020,ASTM," "15-61
F2150-13,Standard Guide for Characterization and Testing of Biomaterial Scaffolds Used in Tissued-Engineered Medical Products,Tissue Engineering,07/09/2014,ASTM," "15-39
F2602-18,Standard Test Method for Determining the Molar Mass of Chitosan and Chitosan Salts by Size Exclusion Chromatography with Multi-angle Light Scattering Detection (SEC-MALS),Tissue Engineering,07/06/2020,ASTM," "15-62
F2602-13,Standard Test Method for Determining the Molar Mass of Chitosan and Chitosan Salts by Size Exclusion Chromatography with Multi-angle Light Scattering Detection (SEC-MALS),Tissue Engineering,07/09/2014,ASTM," "15-41
F2739-19,Standard Guide for Quantifying Cell Viability and Related Attributes within Biomaterial Scaffolds,Tissue Engineering,07/06/2020,ASTM," "15-63
F2739-16 ,Standard Guide for Quantifying Cell Viability within Biomaterial Scaffolds,Tissue Engineering,08/21/2017,ASTM," "15-50
EP09c 3rd Edition,Measurement Procedure Comparison and Bias Estimation Using Patient Samples,InVitro Diagnostics,07/06/2020,CLSI," "7-296
/TS 20914 First edition 2019-07,Medical laboratories - Practical guidance for the estimation of measurement uncertainty,InVitro Diagnostics,07/06/2020,ISO," "7-297
EP35 1st Edition,Assessment of Equivalence or Suitability of Specimen Types for Medical Laboratory Measurement Procedures,InVitro Diagnostics,07/06/2020,CLSI," "7-298
10993-18 Second edition 2020-01,Biological evaluation of medical devices - Part 18: Chemical characterization of medical device materials within a risk management process.,Biocompatibility,07/06/2020,ISO," "2-276
F1830-19,Standard Practice for Collection and Preparation of Blood for Dynamic In Vitro Evaluation of Blood Pumps,Cardiovascular,07/06/2020,ASTM," "3-164
F1830-97 (Reapproved 2017),Standard Practice for Selection of Blood for In Vitro Evaluation of Blood Pumps,Cardiovascular,01/14/2019,ASTM," "3-55
F1841-19,Standard Practice for Assessment of Hemolysis in Continuous Flow Blood Pumps,Cardiovascular,07/06/2020,ASTM," "3-165
9693 Third edition 2019-10 ,Dentistry - Compatibility testing for metal-ceramic and ceramic-ceramic systems,Dental/ENT,07/06/2020,ISO," "4-263
F1841-97 (Reapproved 2017),Standard Practice for Assessment of Hemolysis in Continuous Flow Blood Pumps  egg,Cardiovascular,01/14/2019,ASTM," "3-56
Std 11073-10101-2019,Health informatics - Point-of-care medical device communication. Part 10101: Nomenclature,Software/Informatics,07/06/2020,IEEE," "13-114
9693-1 First edition 2012-02-15,Dentistry -- Compatibility testing - Part 1: Metal-ceramic systems,Dental/ENT,01/30/2014,ISO," "4-201
11073-10101 First edition 2004-12-15,Health informatics - Point-of-care medical device communication - Part 10101: Nomenclature [Including AMENDMENT 1 (2017)],Software/Informatics,12/23/2019,IEEE ISO," "13-110
60601-2-47 Edition 2.0 2012-02,Medical electrical equipment - Part 2-47: Particular requirements for the basic safety and essential performanceof ambulatory electrocardiographic systems,Cardiovascular,07/06/2020,IEC," "3-155
Std 11073-20601-2019,Health informatics - Personal health device communication - Part 20601: Application profile - Optimized exchange protocol.,Software/Informatics,07/06/2020,IEEE," "13-113
Std 11073-20601:2014,Health informatics - Personal health device communication - Part 20601: Application profile - Optimized exchange protocol [including Corrigendum 1 (2015)],Software/Informatics,04/04/2016,IEEE," "13-80
29119-1 First edition 2013-09-01,Software and systems engineering - Software testing - Part 1: Concepts and definitions,Software/Informatics,07/06/2020,IEC IEEE ISO," "13-115
80601-2-30 Edition 1.1 2013-07 ,Medical electrical equipment - Part 2-30: Particular requirements for the basic safety and essential performance of automated non-invasive sphygmomanometers,Cardiovascular,07/06/2020,IEC," "3-152
80601-2-30: Edition 2.0 2018-03,Medical electrical equipment - Part 2-30: Particular requirements for the basic safety and essential performance of automated non-invasive sphygmomanometers,Cardiovascular,07/06/2020,IEC," "3-123
81060-2 Third edition 2018-11,Non-invasive sphygmomanometers - Part 2: Clinical investigation of intermittent automated measurement type [including: Amendment 1 (2020)],Cardiovascular,07/06/2020,ISO," "3-166
11664-1:2019,Colorimetry - Part 1: CIE standard colorimetric observers,ObGyn/Gastroenterology/Urology,07/06/2020,CIE ISO," "9-124
11664-2 S 014-2/E First edition 2007-10-15 Corrected version 2008-11-01,Colorimetry - Part 2: CIE standard illuminants,ObGyn/Gastroenterology/Urology,07/06/2020,CIE ISO," "9-125
11664-3 First edition 2019-06,Colorimetry - Part 3: CIE tristimulus values,ObGyn/Gastroenterology/Urology,07/06/2020,CIE ISO," "9-126
11664-4 First edition 2019-06,Colorimetry - Part 4: CIE 1976 L*a*b* colour space,ObGyn/Gastroenterology/Urology,07/06/2020,CIE ISO," "9-127
11664-6 First edition 2014-02-01,Colorimetry - Part 6: CIEDE2000 colour-difference formula,ObGyn/Gastroenterology/Urology,07/06/2020,CIE ISO," "9-128
61966-2-1 First edition 1999-10,Multimedia systems and equipment - Colour measurement and management - Part 2-1: Colour management - Default RGB colour space - sRGB [Including: Amendment 1 (2003) and Corrigendum 1 (2014)],ObGyn/Gastroenterology/Urology,07/06/2020,CIE ISO," "9-129
/TS 81060-5 First edition 2020-02,Non-invasive sphygmomanometers - Part 5: Requirements for the repeatability and reproducibility of NIBP simulators for testing of automated non-invasive sphygmomanometers,Cardiovascular,07/06/2020,ISO," "3-167
Std 1708-2014,Standard for Wearable Cuffless Blood Pressure Measuring Devices [including: Amendment 1 (2019)],Cardiovascular,07/06/2020,IEEE," "3-168
D7103-19,Standard Guide for Assessment of Medical Gloves,General Plastic Surgery/General Hospital,07/06/2020,ASTM," "6-444
D7103-06 (Reapproved 2013),Standard Guide for Assessment of Medical Gloves,General Plastic Surgery/General Hospital,01/30/2014,ASTM," "6-176
81060-2 Third edition 2018-11,Non-invasive sphygmomanometers - Part 2: Clinical investigation of intermittent automated measurement type,Cardiovascular,07/06/2020,ISO," "3-160
3A 2018 ,Packaged-Products for Parcel Delivery System Shipment 70 kg (150 lb) or Less ,General I (QS/RM),07/06/2020,ISTA," "5-126
3A 2008 ,Packaged-Products for Parcel Delivery System Shipment 70 kg (150 lb) or Less ,General I (QS/RM),09/21/2016,ISTA," "5-110
3B 2017,Packaged-Products for Less-Than-Truckload (LTL) Shipment,General I (QS/RM),07/06/2020,ISTA," "5-127
3B 2012 ,Packaged-Products for Less-Than-Truckload (LTL) Shipment,General I (QS/RM),09/21/2016,ISTA," "5-111
3E 2017,Similar Packaged-Products in Unitized Loads of Truckload Shipment,General I (QS/RM),07/06/2020,ISTA," "5-128
3E 2009 ,Unitized Loads of Same Product ,General I (QS/RM),09/21/2016,ISTA," "5-112
62366-1 Edition 1.1 2020-06 CONSOLIDATED VERSION,Medical devices - Part 1: Application of usability engineering to medical devices,General I (QS/RM),07/06/2020,IEC," "5-129
62366-1 Edition 1.0 2015-02,Medical devices - Part 1: Application of usability engineering to medical devices  [Including CORRIGENDUM 1 (2016)],General I (QS/RM),12/23/2016,IEC," "5-114
BE83:2006/(R)2011,Biological evaluation of medical devices - Part 18: Chemical characterization of materials ,Biocompatibility,07/26/2016,ANSI AAMI," "2-238
14971 Third Edition 2019-12,Medical devices - Application of risk management to medical devices,General I (QS/RM),12/23/2019,ISO," "5-125
14971 Second edition 2007-03-01,Medical devices - Application of risk management to medical devices,General I (QS/RM),06/27/2016,ISO," "5-40
CVSS v3.0,Common Vulnerability Scoring System version 3.0,Software/Informatics,10/19/2020,FIRST," "13-116
F1223-20,Standard Test Method for Determination of Total Knee Replacement Constraint,Orthopedic,12/21/2020,ASTM," "11-373
F1223-14,Standard Test Method for Determination of Total Knee Replacement Constraint,Orthopedic,01/27/2015,ASTM," "11-282
14879-1 Second edition 2020-07 ,Implants for surgery - Total knee-joint prostheses - Part 1: Determination of endurance properties of knee tibial trays,Orthopedic,12/21/2020,ISO," "11-370
14879-1 First edition 2000-06-01,Implants for surgery - Total knee-joint prostheses - Part 1: Determination of endurance properties of knee tibial trays,Orthopedic,01/30/2014,ISO," "11-191
F2009-20,Standard Test Method for Determining the Axial Disassembly Force of Taper Connections of Modular Prostheses,Orthopedic,12/21/2020,ASTM," "11-371
F2009-00 (Reapproved 2011),Standard Test Method for Determining the Axial Disassembly Force of Taper Connections of Modular Prostheses,Orthopedic,01/30/2014,ASTM," "11-267
F2996-20,Standard Practice for Finite Element Analysis (FEA) of Non-Modular Metallic Orthopaedic Hip Femoral Stems,Orthopedic,12/21/2020,ASTM," "11-372
F2996-13,Standard Practice for Finite Element Analysis (FEA) of Non-Modular Metallic Orthopaedic Hip Femoral Stems,Orthopedic,07/09/2014,ASTM," "11-279
7207-2 Second edition 2011-07-01,Implants for surgery - Components for partial and total knee joint prostheses - Part 2: Articulating surfaces made of metal ceramic and plastics materials [Including AMENDMENT 1 (2016) and AMENDMENT 2 (2020)] ,Orthopedic,12/21/2020,ISO," "11-374
7207-2 Second edition 2011-07-01,Implants for surgery - Components for partial and total knee joint prostheses - Part 2: Articulating surfaces made of metal ceramic and plastics materials [Including AMENDMENT 1 (2016)],Orthopedic,12/23/2016,ISO," "11-313
F2028-17,Standard Test Methods for Dynamic Evaluation of Glenoid Loosening or Disassociation,Orthopedic,12/21/2020,ASTM," "11-330
F2193-20,Standard Specifications and Test Methods for Components Used in the Surgical Fixation of the Spinal Skeletal System,Orthopedic,12/21/2020,ASTM," "11-375
F2193-18,Standard Specifications and Test Methods for Components Used in the Surgical Fixation of the Spinal Skeletal System,Orthopedic,09/17/2018,ASTM," "11-332
F3395/F3395M-19,Standard Specification for Neurosurgical Head Holder Devices,Neurology,12/21/2020,ASTM," "17-17
60601-2-4 Edition 3.1 2018-02 CONSOLIDATED VERSION ,Medical electrical equipment - Part 2-4: Particular requirements for the basic safety and essential performance of cardiac defibrillators,Cardiovascular,12/21/2020,IEC," "3-169
60601-1-8 Edition 2.2 2020-07 CONSOLIDATED VERSION,Medical electrical equipment - Part 1-8: General requirements for basic safety and essential performance - Collateral Standard: General requirements tests and guidance for alarm systems in medical electrical equipment and medical electrical systems,General I (QS/RM),12/21/2020,IEC," "5-131
60601-1-8 Edition 2.1 2012-11,Medical electrical equipment - Part 1-8: General requirements for basic safety and essential performance - Collateral Standard: General requirements tests and guidance for alarm systems in medical electrical equipment and medical electrical systems,General I (QS/RM),08/06/2013,IEC," "5-76
60601-1-6 Edition 3.2 2020-07 CONSOLIDATED VERSION,Medical electrical equipment - Part 1-6: General requirements for basic safety and essential performance - Collateral standard: Usability,General I (QS/RM),12/21/2020,IEC," "5-132
60601-1-6 Edition 3.1 2013-10 ,Medical electrical equipment - Part 1-6: General requirements for basic safety and essential performance - Collateral standard: Usability,General I (QS/RM),06/27/2016,IEC," "5-89
60601-1-10 Edition 1.2 2020-07 CONSOLIDATED VERSION,Medical electrical equipment - Part 1-10: General requirements for basic safety and essential performance - Collateral Standard: Requirements for the development of physiologic closed-loop controllers,General II (ES/EMC),12/21/2020,IEC," "19-37
